qseqid	sseqid	evalue	pident	length	gaps	sstart	send	qstart	qend
ID_190_F1_0_F2_7_G_4_SplitPt_126_GenID_0	f7_28	0.0	100.00	374	0	127	500	127	500
ID_190_F1_0_F2_7_G_4_SplitPt_126_GenID_0	f0_18	2e-84	94.81	135	0	1	135	1	135
ID_190_F1_0_F2_7_G_4_SplitPt_126_GenID_0	f7_29	2e-80	32.60	411	1	90	500	95	500
ID_190_F1_0_F2_7_G_4_SplitPt_126_GenID_0	f7_31	2e-24	20.29	409	3	98	500	95	500
ID_190_F1_0_F2_7_G_4_SplitPt_126_GenID_0	f0_19	1e-21	36.67	120	0	4	123	4	123
ID_190_F1_0_F2_7_G_4_SplitPt_126_GenID_0	f7_30	3e-21	20.38	373	0	128	500	128	500
ID_190_F1_0_F2_7_G_4_SplitPt_126_GenID_0	f0_16	2e-06	24.55	110	0	10	119	10	119
ID_190_F1_0_F2_7_G_4_SplitPt_126_GenID_0	f0_17	8e-06	23.02	126	0	10	135	10	135
ID_190_F1_0_F2_7_G_4_SplitPt_126_GenID_0	f0_23	0.020	24.64	69	0	10	78	10	78
ID_190_F1_0_F2_7_G_4_SplitPt_126_GenID_0	f7_20	1.9	22.08	154	5	342	488	342	488
ID_190_F1_0_F2_7_G_4_SplitPt_126_GenID_0	ID_228_F1_7_F2_7_G_4_SplitPt_178_GenID_0	2.1	23.23	155	7	342	488	342	488
ID_190_F1_0_F2_7_G_4_SplitPt_126_GenID_0	f0_24	2.5	31.03	58	2	392	442	142	199
ID_190_F1_0_F2_7_G_4_SplitPt_126_GenID_0	f0_22	3.7	18.57	70	0	26	95	26	95
ID_190_F1_0_F2_7_G_4_SplitPt_126_GenID_0	f9_6	8.1	32.43	37	0	102	138	361	397
ID_176_F1_16_F2_17_G_0_SplitPt_100_GenID_0	ID_194_F1_18_F2_11_G_0_SplitPt_182_GenID_0	0.13	25.00	128	5	93	220	295	387
ID_176_F1_16_F2_17_G_0_SplitPt_100_GenID_0	f13_15	0.27	26.47	68	1	53	108	427	494
ID_176_F1_16_F2_17_G_0_SplitPt_100_GenID_0	ID_73_F1_5_F2_1_G_2_SplitPt_219_GenID_0	2.6	27.40	73	1	376	448	386	454
ID_176_F1_16_F2_17_G_0_SplitPt_100_GenID_0	f18_28	3.6	24.44	45	1	44	81	421	465
ID_176_F1_16_F2_17_G_0_SplitPt_100_GenID_0	f0_4	4.5	30.00	60	2	394	449	178	232
ID_176_F1_16_F2_17_G_0_SplitPt_100_GenID_0	ID_13_F1_4_F2_10_G_3_SplitPt_152_GenID_0	7.0	36.96	46	1	347	392	393	436
ID_76_F1_3_F2_15_G_1_SplitPt_250_GenID_0	f3_16	4e-05	17.47	166	0	22	187	22	187
ID_76_F1_3_F2_15_G_1_SplitPt_250_GenID_0	ID_203_F1_3_F2_7_G_1_SplitPt_194_GenID_0	0.010	22.38	143	2	88	230	88	220
ID_76_F1_3_F2_15_G_1_SplitPt_250_GenID_0	f15_0	0.072	25.84	89	0	288	376	288	376
ID_76_F1_3_F2_15_G_1_SplitPt_250_GenID_0	f3_21	0.11	33.33	45	0	144	188	144	188
ID_76_F1_3_F2_15_G_1_SplitPt_250_GenID_0	f15_4	0.18	24.42	86	2	415	493	408	493
ID_76_F1_3_F2_15_G_1_SplitPt_250_GenID_0	f18_24	0.97	33.77	77	4	257	333	104	172
ID_76_F1_3_F2_15_G_1_SplitPt_250_GenID_0	f8_27	1.6	26.32	57	1	288	344	349	402
ID_76_F1_3_F2_15_G_1_SplitPt_250_GenID_0	f11_4	1.9	22.95	61	1	102	156	414	474
ID_76_F1_3_F2_15_G_1_SplitPt_250_GenID_0	ID_210_F1_17_F2_8_G_4_SplitPt_249_GenID_0	2.6	30.23	43	1	288	330	349	388
ID_76_F1_3_F2_15_G_1_SplitPt_250_GenID_0	ID_121_F1_1_F2_19_G_1_SplitPt_87_GenID_0	4.1	23.53	51	0	122	172	202	252
ID_76_F1_3_F2_15_G_1_SplitPt_250_GenID_0	f11_19	7.7	35.71	28	0	153	180	344	371
ID_76_F1_3_F2_15_G_1_SplitPt_250_GenID_0	ID_19_F1_9_F2_8_G_1_SplitPt_133_GenID_0	9.2	45.83	24	0	431	454	468	491
ID_64_F1_4_F2_3_G_3_SplitPt_92_GenID_0	f3_18	4e-49	24.51	408	0	93	500	93	500
ID_64_F1_4_F2_3_G_3_SplitPt_92_GenID_0	f3_19	7e-44	24.08	407	1	93	494	93	499
ID_64_F1_4_F2_3_G_3_SplitPt_92_GenID_0	f4_2	2e-10	29.46	112	0	2	113	2	113
ID_64_F1_4_F2_3_G_3_SplitPt_92_GenID_0	f3_16	2e-09	17.39	368	2	130	492	130	497
ID_64_F1_4_F2_3_G_3_SplitPt_92_GenID_0	f4_3	5e-08	32.56	86	0	4	89	4	89
ID_64_F1_4_F2_3_G_3_SplitPt_92_GenID_0	f4_0	9e-04	22.83	92	0	1	92	1	92
ID_64_F1_4_F2_3_G_3_SplitPt_92_GenID_0	f3_17	0.002	18.33	300	2	152	443	152	443
ID_64_F1_4_F2_3_G_3_SplitPt_92_GenID_0	f4_1	0.40	22.22	90	2	4	92	4	92
ID_64_F1_4_F2_3_G_3_SplitPt_92_GenID_0	ID_88_F1_4_F2_15_G_3_SplitPt_91_GenID_0	1.1	19.69	127	1	4	130	4	128
ID_64_F1_4_F2_3_G_3_SplitPt_92_GenID_0	f12_31	1.5	23.60	89	2	277	365	213	287
ID_64_F1_4_F2_3_G_3_SplitPt_92_GenID_0	f14_2	3.5	33.33	36	0	225	260	462	497
