qseqid	sseqid	evalue	pident	length	gaps	sstart	send	qstart	qend
ID_190_F1_16_F2_5_G_1_SplitPt_87_GenID_0	f5_23	2e-06	17.60	375	7	74	438	79	438
ID_190_F1_16_F2_5_G_1_SplitPt_87_GenID_0	ID_113_F1_6_F2_5_G_4_SplitPt_157_GenID_0	0.003	18.69	198	2	304	500	304	500
ID_190_F1_16_F2_5_G_1_SplitPt_87_GenID_0	f5_21	0.003	18.69	198	2	304	500	304	500
ID_190_F1_16_F2_5_G_1_SplitPt_87_GenID_0	f16_31	0.005	25.71	70	0	17	86	17	86
ID_190_F1_16_F2_5_G_1_SplitPt_87_GenID_0	f5_18	0.022	14.72	231	2	118	346	118	346
ID_190_F1_16_F2_5_G_1_SplitPt_87_GenID_0	f5_19	0.039	20.71	140	5	115	250	115	234
ID_190_F1_16_F2_5_G_1_SplitPt_87_GenID_0	f5_22	0.045	23.44	128	1	92	219	93	219
ID_190_F1_16_F2_5_G_1_SplitPt_87_GenID_0	ID_233_F1_16_F2_18_G_3_SplitPt_94_GenID_0	0.12	27.27	44	0	44	87	44	87
ID_190_F1_16_F2_5_G_1_SplitPt_87_GenID_0	f5_20	0.14	17.96	284	4	111	391	115	393
ID_190_F1_16_F2_5_G_1_SplitPt_87_GenID_0	f4_8	0.71	25.00	48	0	21	68	399	446
ID_190_F1_16_F2_5_G_1_SplitPt_87_GenID_0	ID_173_F1_15_F2_18_G_1_SplitPt_100_GenID_0	1.3	36.11	36	1	86	120	258	293
ID_190_F1_16_F2_5_G_1_SplitPt_87_GenID_0	ID_245_F1_14_F2_15_G_1_SplitPt_141_GenID_0	2.0	33.33	81	4	146	219	170	247
ID_190_F1_16_F2_5_G_1_SplitPt_87_GenID_0	ID_160_F1_5_F2_13_G_4_SplitPt_201_GenID_0	2.4	20.00	80	1	115	194	115	192
ID_190_F1_16_F2_5_G_1_SplitPt_87_GenID_0	f16_25	7.6	28.57	35	0	13	47	13	47
ID_176_F1_5_F2_7_G_4_SplitPt_117_GenID_0	f7_7	0.0	100.00	383	0	118	500	118	500
ID_176_F1_5_F2_7_G_4_SplitPt_117_GenID_0	f7_6	9e-106	41.62	382	0	119	500	119	500
ID_176_F1_5_F2_7_G_4_SplitPt_117_GenID_0	f5_4	2e-73	100.00	117	0	1	117	1	117
ID_176_F1_5_F2_7_G_4_SplitPt_117_GenID_0	f7_4	2e-36	24.60	374	1	121	490	117	490
ID_176_F1_5_F2_7_G_4_SplitPt_117_GenID_0	ID_212_F1_0_F2_7_G_4_SplitPt_177_GenID_0	3e-31	24.61	321	0	176	496	176	496
ID_176_F1_5_F2_7_G_4_SplitPt_117_GenID_0	f7_5	1e-27	22.76	369	0	121	489	121	489
ID_176_F1_5_F2_7_G_4_SplitPt_117_GenID_0	f5_5	3e-20	36.21	116	0	2	117	2	117
ID_176_F1_5_F2_7_G_4_SplitPt_117_GenID_0	ID_226_F1_7_F2_9_G_4_SplitPt_243_GenID_0	9e-11	26.77	127	1	121	243	117	243
ID_176_F1_5_F2_7_G_4_SplitPt_117_GenID_0	f5_1	1e-09	25.38	130	0	1	130	1	130
ID_176_F1_5_F2_7_G_4_SplitPt_117_GenID_0	f5_7	2e-08	26.72	116	0	1	116	1	116
ID_176_F1_5_F2_7_G_4_SplitPt_117_GenID_0	f7_3	1e-07	18.12	320	3	184	498	182	498
ID_176_F1_5_F2_7_G_4_SplitPt_117_GenID_0	f7_2	4e-07	19.11	314	6	189	498	189	498
ID_176_F1_5_F2_7_G_4_SplitPt_117_GenID_0	f5_6	4e-06	25.42	118	0	1	118	1	118
ID_176_F1_5_F2_7_G_4_SplitPt_117_GenID_0	f7_12	3e-04	23.44	192	3	163	347	163	348
ID_176_F1_5_F2_7_G_4_SplitPt_117_GenID_0	f5_0	4e-04	26.36	110	0	7	116	7	116
ID_176_F1_5_F2_7_G_4_SplitPt_117_GenID_0	f7_0	0.003	19.01	142	0	350	491	350	491
ID_176_F1_5_F2_7_G_4_SplitPt_117_GenID_0	f7_13	0.52	19.33	119	2	162	278	162	278
ID_176_F1_5_F2_7_G_4_SplitPt_117_GenID_0	ID_234_F1_0_F2_7_G_2_SplitPt_94_GenID_0	1.2	34.62	26	0	465	490	465	490
ID_176_F1_5_F2_7_G_4_SplitPt_117_GenID_0	f13_10	2.3	33.33	36	0	252	287	374	409
ID_176_F1_5_F2_7_G_4_SplitPt_117_GenID_0	ID_220_F1_11_F2_7_G_4_SplitPt_139_GenID_0	2.9	20.00	130	2	364	491	364	491
ID_176_F1_5_F2_7_G_4_SplitPt_117_GenID_0	f7_1	3.9	20.00	130	2	364	491	364	491
ID_176_F1_5_F2_7_G_4_SplitPt_117_GenID_0	f19_28	7.4	26.83	41	1	193	233	117	155
ID_76_F1_3_F2_0_G_2_SplitPt_82_GenID_0	f0_10	8e-29	20.76	419	2	81	498	81	498
ID_76_F1_3_F2_0_G_2_SplitPt_82_GenID_0	f0_11	1e-18	19.57	419	2	85	498	85	498
ID_76_F1_3_F2_0_G_2_SplitPt_82_GenID_0	f0_9	1e-17	18.67	407	0	82	488	82	488
ID_76_F1_3_F2_0_G_2_SplitPt_82_GenID_0	f0_8	2e-10	19.24	421	9	85	487	85	487
ID_76_F1_3_F2_0_G_2_SplitPt_82_GenID_0	f0_13	0.012	19.56	271	6	244	499	241	499
ID_76_F1_3_F2_0_G_2_SplitPt_82_GenID_0	ID_212_F1_0_F2_7_G_4_SplitPt_177_GenID_0	0.11	18.02	111	0	84	194	84	194
ID_76_F1_3_F2_0_G_2_SplitPt_82_GenID_0	ID_182_F1_13_F2_0_G_1_SplitPt_172_GenID_0	0.84	23.73	59	0	229	287	229	287
ID_76_F1_3_F2_0_G_2_SplitPt_82_GenID_0	f9_10	1.5	41.67	24	0	130	153	92	115
ID_76_F1_3_F2_0_G_2_SplitPt_82_GenID_0	ID_78_F1_6_F2_6_G_2_SplitPt_63_GenID_0	1.6	30.00	40	0	190	229	347	386
ID_76_F1_3_F2_0_G_2_SplitPt_82_GenID_0	f17_17	2.3	35.71	42	2	166	204	447	486
ID_76_F1_3_F2_0_G_2_SplitPt_82_GenID_0	ID_1_F1_6_F2_2_G_0_SplitPt_222_GenID_0	3.6	31.94	72	3	219	287	48	112
ID_76_F1_3_F2_0_G_2_SplitPt_82_GenID_0	ID_124_F1_7_F2_17_G_2_SplitPt_192_GenID_0	5.7	27.45	51	1	38	88	40	88
ID_76_F1_3_F2_0_G_2_SplitPt_82_GenID_0	f9_31	5.9	32.50	40	0	314	353	188	227
ID_76_F1_3_F2_0_G_2_SplitPt_82_GenID_0	ID_41_F1_18_F2_15_G_4_SplitPt_241_GenID_0	6.2	22.99	87	3	115	194	392	478
ID_76_F1_3_F2_0_G_2_SplitPt_82_GenID_0	ID_18_F1_4_F2_18_G_3_SplitPt_135_GenID_0	6.4	37.04	27	0	216	242	471	497
ID_76_F1_3_F2_0_G_2_SplitPt_82_GenID_0	f3_28	7.1	24.53	53	0	21	73	21	73
ID_76_F1_3_F2_0_G_2_SplitPt_82_GenID_0	ID_8_F1_5_F2_19_G_3_SplitPt_181_GenID_0	7.3	19.87	156	4	296	447	265	406
ID_76_F1_3_F2_0_G_2_SplitPt_82_GenID_0	f11_24	8.7	35.29	34	1	16	49	150	182
ID_64_F1_4_F2_12_G_2_SplitPt_164_GenID_0	f12_19	3e-21	21.00	300	0	182	481	182	481
ID_64_F1_4_F2_12_G_2_SplitPt_164_GenID_0	f12_16	6e-17	24.62	199	1	262	455	262	460
ID_64_F1_4_F2_12_G_2_SplitPt_164_GenID_0	f12_18	3e-13	20.30	330	3	154	477	154	477
ID_64_F1_4_F2_12_G_2_SplitPt_164_GenID_0	f12_17	9e-11	19.44	216	0	262	477	262	477
ID_64_F1_4_F2_12_G_2_SplitPt_164_GenID_0	f4_6	2e-07	21.52	158	2	2	156	2	156
ID_64_F1_4_F2_12_G_2_SplitPt_164_GenID_0	f4_7	0.075	18.67	75	1	75	147	73	147
ID_64_F1_4_F2_12_G_2_SplitPt_164_GenID_0	ID_170_F1_12_F2_3_G_4_SplitPt_237_GenID_0	0.18	28.79	66	1	182	247	182	246
ID_64_F1_4_F2_12_G_2_SplitPt_164_GenID_0	f4_4	0.60	18.67	150	2	1	145	1	145
ID_64_F1_4_F2_12_G_2_SplitPt_164_GenID_0	ID_81_F1_2_F2_0_G_1_SplitPt_58_GenID_0	3.0	36.36	33	1	380	411	416	448
ID_64_F1_4_F2_12_G_2_SplitPt_164_GenID_0	f0_21	3.5	32.43	37	1	105	138	88	124
ID_64_F1_4_F2_12_G_2_SplitPt_164_GenID_0	f17_7	4.0	30.56	36	0	424	459	237	272
ID_64_F1_4_F2_12_G_2_SplitPt_164_GenID_0	ID_108_F1_19_F2_12_G_4_SplitPt_151_GenID_0	5.6	14.19	148	0	282	429	282	429
ID_64_F1_4_F2_12_G_2_SplitPt_164_GenID_0	f12_22	6.0	15.73	89	0	360	448	360	448
ID_64_F1_4_F2_12_G_2_SplitPt_164_GenID_0	ID_225_F1_11_F2_4_G_1_SplitPt_198_GenID_0	6.8	29.69	64	2	148	205	48	111
ID_103_F1_1_F2_18_G_4_SplitPt_167_GenID_0	f18_2	0.0	97.95	341	0	160	500	160	500
ID_103_F1_1_F2_18_G_4_SplitPt_167_GenID_0	f1_29	5e-118	98.25	171	0	1	171	1	171
ID_103_F1_1_F2_18_G_4_SplitPt_167_GenID_0	f18_3	3e-82	36.57	350	0	151	500	151	500
ID_103_F1_1_F2_18_G_4_SplitPt_167_GenID_0	ID_137_F1_15_F2_18_G_3_SplitPt_117_GenID_0	9e-47	26.76	340	0	161	500	161	500
ID_103_F1_1_F2_18_G_4_SplitPt_167_GenID_0	f1_28	3e-31	33.33	171	0	1	171	1	171
ID_103_F1_1_F2_18_G_4_SplitPt_167_GenID_0	f18_0	4e-25	23.65	334	2	168	500	168	500
ID_103_F1_1_F2_18_G_4_SplitPt_167_GenID_0	f18_1	4e-17	21.00	319	0	161	479	161	479
ID_103_F1_1_F2_18_G_4_SplitPt_167_GenID_0	f18_5	3e-04	16.32	337	0	161	497	161	497
ID_103_F1_1_F2_18_G_4_SplitPt_167_GenID_0	f18_4	0.16	19.75	324	9	175	479	175	479
ID_103_F1_1_F2_18_G_4_SplitPt_167_GenID_0	f4_3	2.1	25.89	112	4	297	390	320	426
ID_103_F1_1_F2_18_G_4_SplitPt_167_GenID_0	f18_9	6.6	27.03	37	0	197	233	237	273
ID_12_F1_0_F2_13_G_0_SplitPt_144_GenID_0	f14_21	0.12	34.00	50	1	401	449	199	248
ID_12_F1_0_F2_13_G_0_SplitPt_144_GenID_0	ID_174_F1_2_F2_14_G_4_SplitPt_110_GenID_0	0.17	34.00	50	1	401	449	199	248
ID_12_F1_0_F2_13_G_0_SplitPt_144_GenID_0	ID_238_F1_1_F2_11_G_1_SplitPt_120_GenID_0	1.5	46.15	26	0	92	117	75	100
ID_12_F1_0_F2_13_G_0_SplitPt_144_GenID_0	f9_24	2.6	40.48	42	2	435	472	301	342
ID_12_F1_0_F2_13_G_0_SplitPt_144_GenID_0	f18_13	7.8	32.14	56	2	2	51	445	499
ID_12_F1_0_F2_13_G_0_SplitPt_144_GenID_0	ID_149_F1_3_F2_2_G_4_SplitPt_134_GenID_0	7.9	30.56	72	4	404	472	303	369
ID_12_F1_0_F2_13_G_0_SplitPt_144_GenID_0	f2_26	8.2	29.23	65	3	410	472	310	369
ID_12_F1_0_F2_13_G_0_SplitPt_144_GenID_0	f15_0	9.8	23.30	103	3	335	437	258	354
ID_171_F1_5_F2_0_G_2_SplitPt_245_GenID_0	f0_13	6e-20	24.36	234	2	256	487	256	487
ID_171_F1_5_F2_0_G_2_SplitPt_245_GenID_0	ID_221_F1_13_F2_0_G_4_SplitPt_93_GenID_0	2e-17	23.11	238	2	256	492	256	492
ID_171_F1_5_F2_0_G_2_SplitPt_245_GenID_0	f0_12	4e-17	23.11	238	2	256	492	256	492
ID_171_F1_5_F2_0_G_2_SplitPt_245_GenID_0	f0_15	4e-08	18.78	197	0	287	483	287	483
ID_171_F1_5_F2_0_G_2_SplitPt_245_GenID_0	f5_13	2e-06	21.32	197	2	67	261	67	261
ID_171_F1_5_F2_0_G_2_SplitPt_245_GenID_0	f5_15	2e-06	18.68	257	6	1	247	1	247
ID_171_F1_5_F2_0_G_2_SplitPt_245_GenID_0	f5_14	4e-06	19.74	304	4	1	294	1	300
ID_171_F1_5_F2_0_G_2_SplitPt_245_GenID_0	f5_12	3e-04	25.71	105	1	141	244	140	244
ID_171_F1_5_F2_0_G_2_SplitPt_245_GenID_0	f0_14	7e-04	20.28	143	0	341	483	341	483
ID_171_F1_5_F2_0_G_2_SplitPt_245_GenID_0	ID_79_F1_10_F2_14_G_4_SplitPt_128_GenID_0	0.003	25.21	119	5	33	133	341	456
ID_171_F1_5_F2_0_G_2_SplitPt_245_GenID_0	f10_25	0.004	26.37	91	3	33	120	341	428
ID_171_F1_5_F2_0_G_2_SplitPt_245_GenID_0	f5_11	0.071	16.87	166	0	7	172	7	172
ID_171_F1_5_F2_0_G_2_SplitPt_245_GenID_0	f18_21	1.7	25.61	82	2	105	184	155	229
ID_171_F1_5_F2_0_G_2_SplitPt_245_GenID_0	ID_81_F1_2_F2_0_G_1_SplitPt_58_GenID_0	4.9	21.71	129	2	313	440	313	434
ID_171_F1_5_F2_0_G_2_SplitPt_245_GenID_0	f9_2	6.4	41.38	29	0	415	443	257	285
ID_156_F1_17_F2_12_G_0_SplitPt_60_GenID_0	f9_20	2.2	26.47	68	2	113	180	63	128
ID_156_F1_17_F2_12_G_0_SplitPt_60_GenID_0	ID_180_F1_8_F2_14_G_1_SplitPt_181_GenID_0	2.5	31.58	38	0	337	374	396	433
ID_156_F1_17_F2_12_G_0_SplitPt_60_GenID_0	ID_58_F1_0_F2_17_G_0_SplitPt_178_GenID_0	4.4	61.11	18	1	406	422	205	222
ID_101_F1_18_F2_2_G_3_SplitPt_81_GenID_0	f2_24	1e-78	29.93	421	0	80	500	80	500
ID_101_F1_18_F2_2_G_3_SplitPt_81_GenID_0	f2_25	2e-73	29.40	415	0	83	497	83	497
ID_101_F1_18_F2_2_G_3_SplitPt_81_GenID_0	f2_27	4e-16	19.49	395	3	105	494	105	494
ID_101_F1_18_F2_2_G_3_SplitPt_81_GenID_0	f2_26	5e-16	18.79	314	0	104	417	104	417
ID_101_F1_18_F2_2_G_3_SplitPt_81_GenID_0	ID_149_F1_3_F2_2_G_4_SplitPt_134_GenID_0	4e-12	18.86	281	0	137	417	137	417
ID_101_F1_18_F2_2_G_3_SplitPt_81_GenID_0	f18_16	1e-11	40.74	81	0	2	82	2	82
ID_101_F1_18_F2_2_G_3_SplitPt_81_GenID_0	f2_30	6e-08	18.10	326	2	110	433	110	433
