qseqid	sseqid	evalue	pident	length	gaps	sstart	send	qstart	qend
ID_12_F1_13_F2_14_G_3_SplitPt_88_GenID_0	ID_12_F1_13_F2_14_G_3_SplitPt_88_GenID_0	0.0	100.00	500	0	1	500	1	500
ID_12_F1_13_F2_14_G_3_SplitPt_88_GenID_0	f14_15	5e-83	33.98	412	0	88	499	88	499
ID_12_F1_13_F2_14_G_3_SplitPt_88_GenID_0	f14_14	7e-78	32.71	425	1	76	500	79	500
ID_12_F1_13_F2_14_G_3_SplitPt_88_GenID_0	f14_13	4e-20	20.57	418	2	84	499	84	499
ID_12_F1_13_F2_14_G_3_SplitPt_88_GenID_0	f14_12	6e-15	18.85	419	4	85	500	85	500
ID_12_F1_13_F2_14_G_3_SplitPt_88_GenID_0	f13_30	3e-12	38.36	73	0	1	73	1	73
ID_12_F1_13_F2_14_G_3_SplitPt_88_GenID_0	f13_31	5e-09	34.25	73	0	1	73	1	73
ID_12_F1_13_F2_14_G_3_SplitPt_88_GenID_0	f14_8	2e-04	19.14	303	5	202	500	203	500
ID_12_F1_13_F2_14_G_3_SplitPt_88_GenID_0	f14_9	2e-04	21.69	166	0	216	381	216	381
ID_12_F1_13_F2_14_G_3_SplitPt_88_GenID_0	f13_28	0.009	27.27	55	0	17	71	17	71
ID_12_F1_13_F2_14_G_3_SplitPt_88_GenID_0	f14_4	0.044	20.66	121	0	123	243	123	243
ID_12_F1_13_F2_14_G_3_SplitPt_88_GenID_0	f14_22	0.22	18.18	88	0	140	227	140	227
ID_12_F1_13_F2_14_G_3_SplitPt_88_GenID_0	f14_24	0.29	29.73	74	2	337	410	293	350
ID_12_F1_13_F2_14_G_3_SplitPt_88_GenID_0	f19_13	0.78	24.49	98	3	13	110	135	208
ID_12_F1_13_F2_14_G_3_SplitPt_88_GenID_0	f17_18	1.8	32.31	65	3	54	116	42	102
ID_12_F1_13_F2_14_G_3_SplitPt_88_GenID_0	f14_2	2.1	23.08	65	1	370	431	433	497
ID_12_F1_13_F2_14_G_3_SplitPt_88_GenID_0	f11_26	2.7	30.43	46	1	28	73	377	419
ID_12_F1_13_F2_14_G_3_SplitPt_88_GenID_0	f14_1	3.4	24.59	61	0	124	184	124	184
ID_12_F1_13_F2_14_G_3_SplitPt_88_GenID_0	f13_21	4.8	23.73	59	0	420	478	175	233
ID_12_F1_13_F2_14_G_3_SplitPt_88_GenID_0	f5_17	5.7	36.67	30	0	347	376	285	314
ID_12_F1_13_F2_14_G_3_SplitPt_88_GenID_0	f3_14	8.1	22.22	99	3	276	372	1	97
ID_11_F1_17_F2_15_G_1_SplitPt_137_GenID_0	ID_11_F1_17_F2_15_G_1_SplitPt_137_GenID_0	0.0	100.00	500	0	1	500	1	500
ID_11_F1_17_F2_15_G_1_SplitPt_137_GenID_0	f15_15	0.001	17.65	102	0	375	476	375	476
ID_11_F1_17_F2_15_G_1_SplitPt_137_GenID_0	f15_9	0.006	16.61	283	0	207	489	207	489
ID_11_F1_17_F2_15_G_1_SplitPt_137_GenID_0	f15_8	0.011	17.99	289	6	207	486	207	486
ID_11_F1_17_F2_15_G_1_SplitPt_137_GenID_0	f15_14	0.033	20.39	103	0	395	497	395	497
ID_11_F1_17_F2_15_G_1_SplitPt_137_GenID_0	f15_10	0.89	16.51	109	0	391	499	391	499
ID_11_F1_17_F2_15_G_1_SplitPt_137_GenID_0	f15_11	1.8	28.95	38	0	462	499	462	499
ID_11_F1_17_F2_15_G_1_SplitPt_137_GenID_0	f1_13	6.2	29.63	54	2	293	346	434	476
ID_0_F1_19_F2_5_G_3_SplitPt_204_GenID_0	ID_0_F1_19_F2_5_G_3_SplitPt_204_GenID_0	0.0	100.00	500	0	1	500	1	500
ID_0_F1_19_F2_5_G_3_SplitPt_204_GenID_0	f5_14	3e-53	31.25	288	0	213	500	213	500
ID_0_F1_19_F2_5_G_3_SplitPt_204_GenID_0	f5_15	4e-53	29.43	316	1	182	497	187	497
ID_0_F1_19_F2_5_G_3_SplitPt_204_GenID_0	f19_9	1e-28	29.90	204	0	2	205	2	205
ID_0_F1_19_F2_5_G_3_SplitPt_204_GenID_0	f19_8	1e-23	29.53	193	1	17	209	19	209
ID_0_F1_19_F2_5_G_3_SplitPt_204_GenID_0	f5_12	5e-17	20.69	290	0	195	484	195	484
ID_0_F1_19_F2_5_G_3_SplitPt_204_GenID_0	f5_13	2e-16	21.25	273	0	212	484	212	484
ID_0_F1_19_F2_5_G_3_SplitPt_204_GenID_0	f19_10	0.001	19.88	171	1	19	187	19	189
ID_0_F1_19_F2_5_G_3_SplitPt_204_GenID_0	f19_2	0.12	26.43	140	6	122	246	136	268
ID_0_F1_19_F2_5_G_3_SplitPt_204_GenID_0	ID_47_F1_5_F2_19_G_4_SplitPt_195_GenID_0	0.43	45.83	24	0	205	228	227	250
ID_0_F1_19_F2_5_G_3_SplitPt_204_GenID_0	f5_8	1.1	16.85	178	3	295	463	297	463
ID_0_F1_19_F2_5_G_3_SplitPt_204_GenID_0	ID_60_F1_12_F2_6_G_2_SplitPt_153_GenID_0	2.0	52.94	17	0	2	18	198	214
ID_0_F1_19_F2_5_G_3_SplitPt_204_GenID_0	f8_25	4.5	30.00	50	2	349	390	248	297
ID_0_F1_19_F2_5_G_3_SplitPt_204_GenID_0	f8_24	5.7	30.56	36	0	336	371	235	270
ID_0_F1_19_F2_5_G_3_SplitPt_204_GenID_0	f1_11	10.0	26.47	34	0	437	470	455	488
ID_23_F1_5_F2_9_G_3_SplitPt_71_GenID_0	ID_23_F1_5_F2_9_G_3_SplitPt_71_GenID_0	0.0	100.00	500	0	1	500	1	500
ID_23_F1_5_F2_9_G_3_SplitPt_71_GenID_0	f9_8	9e-90	33.11	450	1	51	500	53	500
ID_23_F1_5_F2_9_G_3_SplitPt_71_GenID_0	f9_9	2e-82	32.88	438	0	63	500	63	500
ID_23_F1_5_F2_9_G_3_SplitPt_71_GenID_0	f9_11	4e-35	22.84	416	2	74	479	74	479
ID_23_F1_5_F2_9_G_3_SplitPt_71_GenID_0	f9_10	1e-14	20.63	412	7	69	473	69	473
ID_23_F1_5_F2_9_G_3_SplitPt_71_GenID_0	f5_1	1e-05	31.94	72	0	1	72	1	72
ID_23_F1_5_F2_9_G_3_SplitPt_71_GenID_0	f9_2	0.004	24.07	108	2	280	383	277	383
ID_23_F1_5_F2_9_G_3_SplitPt_71_GenID_0	f5_0	0.005	36.54	52	0	2	53	2	53
ID_23_F1_5_F2_9_G_3_SplitPt_71_GenID_0	f9_6	0.052	14.29	161	0	319	479	319	479
ID_23_F1_5_F2_9_G_3_SplitPt_71_GenID_0	ID_46_F1_1_F2_15_G_0_SplitPt_130_GenID_0	1.1	25.26	95	2	224	316	220	303
ID_23_F1_5_F2_9_G_3_SplitPt_71_GenID_0	f5_8	1.8	29.03	31	0	197	227	165	195
ID_23_F1_5_F2_9_G_3_SplitPt_71_GenID_0	f9_29	2.2	25.58	43	0	311	353	311	353
ID_23_F1_5_F2_9_G_3_SplitPt_71_GenID_0	ID_63_F1_7_F2_9_G_4_SplitPt_132_GenID_0	2.3	26.83	41	0	313	353	313	353
ID_23_F1_5_F2_9_G_3_SplitPt_71_GenID_0	f12_29	3.7	34.38	32	1	155	186	395	423
ID_23_F1_5_F2_9_G_3_SplitPt_71_GenID_0	f19_15	4.8	29.23	65	2	145	208	162	223
ID_23_F1_5_F2_9_G_3_SplitPt_71_GenID_0	f6_2	5.2	38.46	39	2	364	399	312	348
ID_23_F1_5_F2_9_G_3_SplitPt_71_GenID_0	f9_15	5.4	31.82	44	0	440	483	245	288
ID_23_F1_5_F2_9_G_3_SplitPt_71_GenID_0	f1_18	7.0	32.43	37	1	411	446	385	421
ID_23_F1_5_F2_9_G_3_SplitPt_71_GenID_0	f3_26	8.2	37.04	27	1	278	304	375	398
ID_50_F1_13_F2_10_G_4_SplitPt_103_GenID_0	ID_50_F1_13_F2_10_G_4_SplitPt_103_GenID_0	0.0	100.00	500	0	1	500	1	500
ID_50_F1_13_F2_10_G_4_SplitPt_103_GenID_0	f10_4	0.0	100.00	397	0	104	500	104	500
ID_50_F1_13_F2_10_G_4_SplitPt_103_GenID_0	f10_6	9e-133	48.35	395	0	105	499	105	499
ID_50_F1_13_F2_10_G_4_SplitPt_103_GenID_0	f10_5	6e-128	43.58	397	0	104	500	104	500
ID_50_F1_13_F2_10_G_4_SplitPt_103_GenID_0	ID_14_F1_11_F2_10_G_4_SplitPt_246_GenID_0	4e-76	46.85	254	0	246	499	246	499
ID_50_F1_13_F2_10_G_4_SplitPt_103_GenID_0	f10_7	6e-74	31.99	397	2	105	499	105	499
ID_50_F1_13_F2_10_G_4_SplitPt_103_GenID_0	f13_1	1e-65	97.22	108	0	1	108	1	108
ID_50_F1_13_F2_10_G_4_SplitPt_103_GenID_0	f13_0	5e-24	43.52	108	0	1	108	1	108
ID_50_F1_13_F2_10_G_4_SplitPt_103_GenID_0	ID_41_F1_15_F2_10_G_3_SplitPt_94_GenID_0	5e-22	19.53	384	0	116	499	116	499
ID_50_F1_13_F2_10_G_4_SplitPt_103_GenID_0	f10_1	1e-15	17.30	393	2	110	499	110	499
ID_50_F1_13_F2_10_G_4_SplitPt_103_GenID_0	f10_2	7e-13	18.36	365	0	130	494	130	494
ID_50_F1_13_F2_10_G_4_SplitPt_103_GenID_0	f13_2	1e-11	31.25	96	0	8	103	8	103
ID_50_F1_13_F2_10_G_4_SplitPt_103_GenID_0	f13_3	6e-11	28.28	99	0	4	102	4	102
ID_50_F1_13_F2_10_G_4_SplitPt_103_GenID_0	f10_0	4e-09	16.75	394	5	110	494	110	494
ID_50_F1_13_F2_10_G_4_SplitPt_103_GenID_0	f13_27	0.005	28.57	56	0	19	74	19	74
ID_50_F1_13_F2_10_G_4_SplitPt_103_GenID_0	f13_18	0.013	26.98	63	0	19	81	19	81
ID_50_F1_13_F2_10_G_4_SplitPt_103_GenID_0	f10_3	0.018	15.73	286	3	219	494	219	494
ID_50_F1_13_F2_10_G_4_SplitPt_103_GenID_0	f13_6	0.035	23.23	99	1	18	116	18	112
ID_50_F1_13_F2_10_G_4_SplitPt_103_GenID_0	f10_31	0.097	20.31	64	0	113	176	113	176
ID_50_F1_13_F2_10_G_4_SplitPt_103_GenID_0	ID_57_F1_8_F2_10_G_1_SplitPt_191_GenID_0	0.18	19.44	144	2	237	377	237	377
ID_50_F1_13_F2_10_G_4_SplitPt_103_GenID_0	f10_29	0.19	20.77	207	7	259	453	259	457
ID_50_F1_13_F2_10_G_4_SplitPt_103_GenID_0	f13_17	0.23	25.49	51	0	28	78	28	78
ID_50_F1_13_F2_10_G_4_SplitPt_103_GenID_0	f13_4	0.36	20.00	100	1	14	112	14	113
ID_50_F1_13_F2_10_G_4_SplitPt_103_GenID_0	f13_26	5.4	18.75	112	2	1	112	1	107
ID_50_F1_13_F2_10_G_4_SplitPt_103_GenID_0	f9_31	5.5	26.32	57	1	234	287	373	429
ID_50_F1_13_F2_10_G_4_SplitPt_103_GenID_0	f15_11	7.3	29.41	34	0	144	177	106	139
ID_44_F1_5_F2_3_G_0_SplitPt_242_GenID_0	ID_44_F1_5_F2_3_G_0_SplitPt_242_GenID_0	0.0	100.00	500	0	1	500	1	500
ID_44_F1_5_F2_3_G_0_SplitPt_242_GenID_0	f5_22	3.1	34.38	32	1	462	493	273	302
ID_44_F1_5_F2_3_G_0_SplitPt_242_GenID_0	f14_17	6.3	24.39	82	2	232	313	108	186
ID_48_F1_9_F2_5_G_3_SplitPt_183_GenID_0	ID_48_F1_9_F2_5_G_3_SplitPt_183_GenID_0	0.0	100.00	500	0	1	500	1	500
ID_48_F1_9_F2_5_G_3_SplitPt_183_GenID_0	f5_22	3e-59	32.70	315	0	186	500	186	500
ID_48_F1_9_F2_5_G_3_SplitPt_183_GenID_0	f5_23	6e-51	30.16	315	0	186	500	186	500
